repeat,fold,algo,auc,best,spec
0,3,logistic,0.774074074074074,"{""clf__C"": 0.1}",M2
0,4,logistic,0.7717484926787253,"{""clf__C"": 0.1}",M2
0,5,logistic,0.821188630490956,"{""clf__C"": 0.1}",M2
0,6,logistic,0.7810508182601206,"{""clf__C"": 0.1}",M2
0,7,logistic,0.766752799310939,"{""clf__C"": 0.1}",M2
0,8,logistic,0.7574504737295435,"{""clf__C"": 0.1}",M2
0,9,logistic,0.7569336778639104,"{""clf__C"": 0.1}",M2
1,0,logistic,0.8396032831737347,"{""clf__C"": 0.1}",M2
1,1,logistic,0.8640560875512996,"{""clf__C"": 0.1}",M2
1,2,logistic,0.7918946648426812,"{""clf__C"": 0.1}",M2
1,3,logistic,0.7340067340067341,"{""clf__C"": 1.0}",M2
1,4,logistic,0.7798449612403101,"{""clf__C"": 0.1}",M2
1,5,logistic,0.7968992248062016,"{""clf__C"": 0.1}",M2
1,6,logistic,0.8260120585701981,"{""clf__C"": 0.1}",M2
1,7,logistic,0.751937984496124,"{""clf__C"": 0.1}",M2
1,8,logistic,0.7667527993109389,"{""clf__C"": 0.1}",M2
1,9,logistic,0.7073212747631352,"{""clf__C"": 0.1}",M2
2,0,logistic,0.8240424076607387,"{""clf__C"": 0.1}",M2
2,1,logistic,0.7859097127222981,"{""clf__C"": 0.1}",M2
2,2,logistic,0.7722298221614227,"{""clf__C"": 0.1}",M2
2,3,logistic,0.7952861952861954,"{""clf__C"": 0.1}",M2
2,4,logistic,0.7924203273040482,"{""clf__C"": 0.1}",M2
2,5,logistic,0.7665805340223945,"{""clf__C"": 0.1}",M2
